sentence_index,sentence_length,uuas_sum,uuas_triu,uuas_tril,uuas_none,proj_sum, proj_triu, proj_tril, proj_none,linear_baseline_score
0,37,0.35294117647058826,0.35294117647058826,0.3235294117647059,0.35294117647058826,0.4117647058823529,0.35294117647058826,0.35294117647058826,0.47058823529411764,0.47058823529411764
1,45,0.5,0.42105263157894735,0.39473684210526316,0.3684210526315789,0.5263157894736842,0.47368421052631576,0.4473684210526316,0.42105263157894735,0.4473684210526316
2,20,0.11764705882352941,0.35294117647058826,0.11764705882352941,0.23529411764705882,0.17647058823529413,0.29411764705882354,0.23529411764705882,0.17647058823529413,0.5294117647058824
3,37,0.3076923076923077,0.19230769230769232,0.34615384615384615,0.34615384615384615,0.3076923076923077,0.23076923076923078,0.4230769230769231,0.3076923076923077,0.46153846153846156
4,23,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.0,0.047619047619047616,0.5238095238095238
5,22,0.3,0.3,0.25,0.45,0.35,0.25,0.3,0.35,0.4
6,17,0.42857142857142855,0.2857142857142857,0.21428571428571427,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.2857142857142857,0.42857142857142855,0.5
7,28,0.30434782608695654,0.21739130434782608,0.2608695652173913,0.2608695652173913,0.34782608695652173,0.13043478260869565,0.30434782608695654,0.34782608695652173,0.4782608695652174
8,34,0.4666666666666667,0.4666666666666667,0.43333333333333335,0.43333333333333335,0.5333333333333333,0.6,0.5333333333333333,0.4666666666666667,0.4666666666666667
9,23,0.17647058823529413,0.11764705882352941,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.23529411764705882,0.4117647058823529
10,30,0.3333333333333333,0.4444444444444444,0.18518518518518517,0.37037037037037035,0.37037037037037035,0.5185185185185185,0.2222222222222222,0.37037037037037035,0.4074074074074074
11,29,0.12,0.2,0.16,0.24,0.12,0.2,0.12,0.16,0.4
12,23,0.16666666666666666,0.1111111111111111,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.4444444444444444
13,13,0.5454545454545454,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.5454545454545454,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.45454545454545453
14,20,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.16666666666666666,0.2777777777777778,0.3333333333333333,0.5
15,42,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.3783783783783784,0.4594594594594595,0.5135135135135135,0.43243243243243246,0.43243243243243246,0.5675675675675675
16,44,0.3888888888888889,0.3611111111111111,0.3611111111111111,0.4166666666666667,0.3888888888888889,0.4166666666666667,0.4722222222222222,0.3611111111111111,0.4444444444444444
17,27,0.19047619047619047,0.19047619047619047,0.14285714285714285,0.19047619047619047,0.19047619047619047,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.7142857142857143
18,26,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.5909090909090909
19,15,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.38461538461538464,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.46153846153846156
20,9,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855
21,42,0.5135135135135135,0.4594594594594595,0.40540540540540543,0.5135135135135135,0.5405405405405406,0.4864864864864865,0.3783783783783784,0.5135135135135135,0.4864864864864865
22,22,0.15,0.1,0.1,0.15,0.15,0.15,0.2,0.2,0.65
23,17,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.2857142857142857,0.21428571428571427,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.5714285714285714
24,10,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.5714285714285714
25,22,0.1,0.1,0.15,0.2,0.2,0.1,0.25,0.3,0.35
26,17,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.5
27,14,0.08333333333333333,0.16666666666666666,0.25,0.25,0.08333333333333333,0.25,0.16666666666666666,0.3333333333333333,0.3333333333333333
28,21,0.15789473684210525,0.21052631578947367,0.10526315789473684,0.2631578947368421,0.15789473684210525,0.3157894736842105,0.2631578947368421,0.3684210526315789,0.5263157894736842
29,18,0.35714285714285715,0.35714285714285715,0.2857142857142857,0.35714285714285715,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.2857142857142857,0.5
30,26,0.30434782608695654,0.13043478260869565,0.30434782608695654,0.34782608695652173,0.30434782608695654,0.17391304347826086,0.391304347826087,0.34782608695652173,0.43478260869565216
31,8,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.6
32,17,0.07692307692307693,0.3076923076923077,0.0,0.23076923076923078,0.07692307692307693,0.3076923076923077,0.0,0.23076923076923078,0.5384615384615384
33,27,0.3333333333333333,0.2916666666666667,0.2916666666666667,0.3333333333333333,0.3333333333333333,0.2916666666666667,0.2916666666666667,0.25,0.5416666666666666
34,21,0.125,0.1875,0.0,0.1875,0.0625,0.125,0.0,0.125,0.5
35,32,0.5357142857142857,0.5357142857142857,0.35714285714285715,0.5,0.5,0.5357142857142857,0.35714285714285715,0.39285714285714285,0.4642857142857143
36,21,0.0625,0.0625,0.125,0.125,0.1875,0.125,0.1875,0.25,0.5625
37,9,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.5
38,12,0.2,0.2,0.3,0.3,0.3,0.2,0.5,0.4,0.4
39,11,0.125,0.125,0.25,0.125,0.25,0.25,0.125,0.25,0.75
40,24,0.14285714285714285,0.19047619047619047,0.19047619047619047,0.23809523809523808,0.09523809523809523,0.23809523809523808,0.19047619047619047,0.19047619047619047,0.5238095238095238
41,40,0.4838709677419355,0.4838709677419355,0.45161290322580644,0.5161290322580645,0.4838709677419355,0.5161290322580645,0.45161290322580644,0.4838709677419355,0.5483870967741935
42,13,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.45454545454545453
43,14,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.25,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.4166666666666667
44,40,0.3888888888888889,0.3611111111111111,0.3333333333333333,0.3611111111111111,0.4722222222222222,0.3611111111111111,0.3888888888888889,0.4166666666666667,0.4722222222222222
45,20,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.0,0.4444444444444444
46,32,0.23076923076923078,0.2692307692307692,0.3076923076923077,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.5
47,29,0.0,0.08333333333333333,0.041666666666666664,0.125,0.041666666666666664,0.125,0.0,0.125,0.5
48,19,0.0,0.0625,0.1875,0.1875,0.0625,0.125,0.125,0.1875,0.4375
49,13,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.5454545454545454
50,11,0.125,0.25,0.125,0.25,0.125,0.5,0.25,0.25,0.625
51,21,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2777777777777778,0.3888888888888889,0.3888888888888889,0.4444444444444444
52,41,0.29411764705882354,0.29411764705882354,0.2647058823529412,0.35294117647058826,0.4117647058823529,0.38235294117647056,0.3235294117647059,0.4117647058823529,0.4117647058823529
53,18,0.3076923076923077,0.15384615384615385,0.23076923076923078,0.38461538461538464,0.3076923076923077,0.3076923076923077,0.38461538461538464,0.3076923076923077,0.38461538461538464
54,11,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.3333333333333333,0.5
55,23,0.15,0.2,0.2,0.3,0.2,0.25,0.2,0.3,0.6
56,23,0.2631578947368421,0.15789473684210525,0.3684210526315789,0.3684210526315789,0.3157894736842105,0.21052631578947367,0.3157894736842105,0.42105263157894735,0.47368421052631576
57,33,0.48148148148148145,0.4444444444444444,0.3333333333333333,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.4444444444444444,0.4074074074074074,0.5185185185185185
58,28,0.13636363636363635,0.22727272727272727,0.18181818181818182,0.2727272727272727,0.13636363636363635,0.3181818181818182,0.22727272727272727,0.22727272727272727,0.5
59,22,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.21052631578947367,0.15789473684210525,0.15789473684210525,0.21052631578947367,0.2631578947368421,0.47368421052631576
60,14,0.2727272727272727,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.18181818181818182,0.2727272727272727,0.45454545454545453
61,27,0.047619047619047616,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.047619047619047616,0.14285714285714285,0.047619047619047616,0.09523809523809523,0.47619047619047616
62,24,0.09523809523809523,0.14285714285714285,0.19047619047619047,0.23809523809523808,0.14285714285714285,0.19047619047619047,0.19047619047619047,0.2857142857142857,0.5238095238095238
63,15,0.3076923076923077,0.15384615384615385,0.3076923076923077,0.23076923076923078,0.3076923076923077,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464
64,24,0.15,0.15,0.2,0.25,0.3,0.2,0.3,0.3,0.6
65,17,0.06666666666666667,0.3333333333333333,0.2,0.3333333333333333,0.06666666666666667,0.2,0.2,0.2,0.4666666666666667
66,4,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.5,1.0
67,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
68,31,0.4,0.36,0.4,0.44,0.4,0.44,0.44,0.4,0.48
69,5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
70,20,0.0625,0.0625,0.125,0.125,0.1875,0.0625,0.1875,0.125,0.5
71,18,0.14285714285714285,0.21428571428571427,0.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.0,0.21428571428571427,0.6428571428571429
72,31,0.43478260869565216,0.43478260869565216,0.34782608695652173,0.391304347826087,0.43478260869565216,0.4782608695652174,0.391304347826087,0.4782608695652174,0.391304347826087
73,12,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.4444444444444444
74,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,31,0.48148148148148145,0.4444444444444444,0.37037037037037035,0.48148148148148145,0.48148148148148145,0.5185185185185185,0.4074074074074074,0.5185185185185185,0.5185185185185185
76,27,0.21739130434782608,0.34782608695652173,0.13043478260869565,0.391304347826087,0.21739130434782608,0.2608695652173913,0.21739130434782608,0.30434782608695654,0.4782608695652174
77,19,0.23529411764705882,0.23529411764705882,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.11764705882352941,0.17647058823529413,0.5882352941176471
78,13,0.2,0.2,0.1,0.3,0.3,0.4,0.1,0.4,0.5
79,57,0.2708333333333333,0.3125,0.25,0.3125,0.2916666666666667,0.3541666666666667,0.2916666666666667,0.3125,0.5208333333333334
80,36,0.41935483870967744,0.41935483870967744,0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644,0.3870967741935484,0.3870967741935484
81,54,0.29411764705882354,0.29411764705882354,0.2549019607843137,0.3137254901960784,0.3333333333333333,0.39215686274509803,0.29411764705882354,0.3137254901960784,0.37254901960784315
82,19,0.125,0.1875,0.125,0.1875,0.125,0.125,0.1875,0.1875,0.5625
83,33,0.5714285714285714,0.42857142857142855,0.4642857142857143,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.4642857142857143,0.42857142857142855,0.5357142857142857
84,32,0.3793103448275862,0.3793103448275862,0.3448275862068966,0.41379310344827586,0.3448275862068966,0.3793103448275862,0.3448275862068966,0.3793103448275862,0.4482758620689655
85,27,0.20833333333333334,0.2916666666666667,0.20833333333333334,0.2916666666666667,0.125,0.2916666666666667,0.20833333333333334,0.16666666666666666,0.3333333333333333
86,22,0.0,0.0,0.26666666666666666,0.2,0.0,0.0,0.26666666666666666,0.2,0.3333333333333333
87,31,0.46153846153846156,0.4230769230769231,0.46153846153846156,0.5,0.5,0.5384615384615384,0.46153846153846156,0.4230769230769231,0.5384615384615384
88,37,0.3870967741935484,0.3870967741935484,0.3548387096774194,0.3870967741935484,0.45161290322580644,0.45161290322580644,0.3548387096774194,0.3548387096774194,0.3548387096774194
89,36,0.26666666666666666,0.26666666666666666,0.3,0.36666666666666664,0.3333333333333333,0.36666666666666664,0.3,0.4,0.5333333333333333
90,23,0.0,0.047619047619047616,0.09523809523809523,0.14285714285714285,0.047619047619047616,0.19047619047619047,0.14285714285714285,0.14285714285714285,0.5238095238095238
91,53,0.40425531914893614,0.425531914893617,0.3617021276595745,0.3829787234042553,0.44680851063829785,0.44680851063829785,0.44680851063829785,0.3617021276595745,0.3617021276595745
92,31,0.5357142857142857,0.4642857142857143,0.5,0.5,0.5714285714285714,0.5,0.6071428571428571,0.42857142857142855,0.5
93,23,0.16666666666666666,0.16666666666666666,0.3888888888888889,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.2777777777777778,0.3333333333333333,0.4444444444444444
94,29,0.11538461538461539,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.11538461538461539,0.23076923076923078,0.15384615384615385,0.23076923076923078,0.46153846153846156
95,28,0.15384615384615385,0.11538461538461539,0.19230769230769232,0.2692307692307692,0.11538461538461539,0.15384615384615385,0.23076923076923078,0.15384615384615385,0.5
96,30,0.4230769230769231,0.34615384615384615,0.38461538461538464,0.4230769230769231,0.5,0.4230769230769231,0.5,0.4230769230769231,0.46153846153846156
97,10,0.125,0.5,0.125,0.25,0.0,0.25,0.125,0.125,0.375
98,52,0.27906976744186046,0.3023255813953488,0.27906976744186046,0.27906976744186046,0.32558139534883723,0.4186046511627907,0.3488372093023256,0.3023255813953488,0.4418604651162791
99,42,0.3783783783783784,0.2972972972972973,0.32432432432432434,0.2972972972972973,0.5135135135135135,0.43243243243243246,0.43243243243243246,0.4594594594594595,0.40540540540540543
